"id","name","isTraded","trueOdds","formatDecimal","formatAmerican","status"
"6c60fd87-5674-317e-95ee-0d05e8c02dff","Chen, Guxin","True","280.0","280.0","27900","ONGOING"
"ee478337-9e2a-3b93-8958-5089fc747ace","Brixi, Gordan","True","310.0","310.0","30900","ONGOING"
"00537868-1ed9-3ec4-96b6-d3edf6edf0b4","Manassero, Matteo","False","320.0","320.0","31900","ONGOING"
"4d5d4002-742c-30f3-9cb3-1477c89b643c","Colsaerts, Nicolas","False","320.0","320.0","31900","ONGOING"
"946f0872-541a-3cb5-8de2-7c79a5b182f3","Fisher, Ross","True","340.0","340.0","33900","ONGOING"
"acffbd08-5e46-391c-a979-915019fd2680","Besard, Matthis","True","340.0","340.0","33900","ONGOING"
"07a7326d-f37c-3927-b393-5709b0e6add3","Pavan, Andrea","True","340.0","340.0","33900","ONGOING"
"fd10654f-426d-3652-8248-79689553625c","Arnaus, Adri","True","340.0","340.0","33900","ONGOING"
"4825d0a3-925f-31fe-a299-b354f9f592fc","Enefer, William","True","340.0","340.0","33900","ONGOING"
"7deeff0f-e057-3f4b-b520-63848445243e","Zanotti, Fabrizio","True","340.0","340.0","33900","ONGOING"
"6b89d13d-0df3-3040-a932-bc58d1425815","Frittelli, Dylan","True","480.0","480.0","47900","ONGOING"
"56671d2d-7db3-3496-ae46-904ce43f87e7","Jefferson Go, Lloyd","True","530.0","530.0","52900","ONGOING"
"12c43afe-1a02-32d3-970d-40181eae9f26","Lacroix, Frederic","True","530.0","530.0","52900","ONGOING"
"8cb5d309-aca3-36b7-9ea0-fe3ee507a267","Kinhult, Marcus","True","530.0","530.0","52900","ONGOING"
"cf6dfe6b-23f7-3f3c-8d70-71bcd1684a2d","Tarrio, Santiago","True","530.0","530.0","52900","ONGOING"
"1e1826c7-2898-33fe-9190-fd97fa4dbe15","Gallacher, Stephen","False","590.0","590.0","58900","ONGOING"
"defc029b-010a-3215-9354-07942a2127cb","Fang, Zeqian","False","590.0","590.0","58900","ONGOING"
"9440fbe4-9ca9-3f59-9e54-958c0c3d68bb","Li, Linqiang","False","590.0","590.0","58900","ONGOING"
"ca03fea9-5040-32ca-a941-38ed316811c4","Chouhan, Om Prakash","False","630.0","630.0","62900","ONGOING"
"5690230f-2e61-3e1e-8c12-3f0b08c5f52c","Bai, Zheng-Kai","False","630.0","630.0","62900","ONGOING"
"e2dc882b-7a03-3ef3-8d1b-134e70c79165","Penge, Marco","False","680.0","680.0","67900","ONGOING"
"678a7602-3adc-3cc6-b83f-95a9d0406cb2","Zhou, Ziqin","False","710.0","710.0","70900","ONGOING"
"fc564031-b64b-3aae-a900-ea72409b967e","Brun, Julien","False","730.0","730.0","72900","ONGOING"
"59d6f294-c748-35c6-b00d-78ca3d1f222d","Strydom, Ockie","True","780.0","780.0","77900","ONGOING"
"0c0d5eb8-c40e-338c-bd13-966a1c370364","Hanna, Chase","True","780.0","780.0","77900","ONGOING"
"abe46e33-0204-3ea8-80db-9ad619aa1589","Gouveia, Ricardo","True","780.0","780.0","77900","ONGOING"
"4f4158f0-535e-37ec-9a5b-42fbfcb946a5","Kjeldsen, Soren","True","780.0","780.0","77900","ONGOING"
